test,label,domain,unit,type,min,max
nart_7fd846,NART,Screening,errors,integer,0,50
moca_e04359,MoCA,Screening,points,integer,0,50
mmse,MMSE,Screening,points,integer,0,30
fab,FAB,Screening,points,integer,0,18
tmt_a,TMT-A,Attention & Working Memory,seconds,numeric,0,Inf
tmt_a_err,TMT-A (errors),Attention & Working Memory,errors,integer,0,Inf
tmt_b,TMT-B,Executive Function,seconds,numeric,0,Inf
tmt_b_err,TMT-B (errors),Executive Function,errors,integer,0,Inf
ds_f,Digit Span Forward,Attention & Working Memory,points,integer,0,16
ds_b,Digit Span Backward,Attention & Working Memory,points,integer,0,14
corsi_f,Spatial Span Forward,Attention & Working Memory,points,integer,0,16
corsi_b,Spatial Span Backward,Attention & Working Memory,points,integer,0,16
lns,Letter Number Sequencing,Attention & Working Memory,points,integer,0,21
tol_anderson,Tower of London,Executive Function,points,integer,0,108
vf_s,COWAT (letter S),Executive Function,words per minute,integer,0,Inf
vf_k,COWAT (letter K),Executive Function,words per minute,integer,0,Inf
vf_p,COWAT (letter P),Executive Function,words per minute,integer,0,Inf
vf_animals,CFT (Animals),Executive Function,words per minute,integer,0,Inf
vf_clothes,CFT (Clothes),Executive Function,words per minute,integer,0,Inf
vf_shop,CFT (Shop),Executive Function,words per minute,integer,0,Inf
pst_d,PST-D,Attention & Working Memory,seconds,numeric,0,Inf
pst_d_err,PST-D (errors),Attention & Working Memory,errors,integer,0,Inf
pst_w,PST-W,Executive Function,seconds,numeric,0,Inf
pst_w_err,PST-W (errors),Executive Function,errors,integer,0,Inf
pst_c,PST-C,Executive Function,seconds,numeric,0,Inf
pst_c_err,PST-C (errors),Executive Function,errors,integer,0,Inf
sim,Similarities,Language,points,integer,0,33
bnt_60,BNT-60,Language,points,integer,0,60
ravlt_1,RAVLT (first trial),Memory,words,integer,0,15
ravlt_2,RAVLT (second trial),Memory,words,integer,0,15
ravlt_3,RAVLT (third trial),Memory,words,integer,0,15
ravlt_4,RAVLT (fourth trial),Memory,words,integer,0,15
ravlt_5,RAVLT (fifth trial),Memory,words,integer,0,15
ravlt_r15,RAVLT repetitions (trials 1-5),Memory,words,integer,0,Inf
ravlt_c15,RAVLT confabulations (trials 1-5),Memory,words,integer,0,Inf
ravlt_b,RAVLT B (interference list),Memory,words,integer,0,15
ravlt_6,RAVLT 6 (post-interference),Memory,words,integer,0,15
ravlt_30,RAVLT Delayed Recall,Memory,words,integer,0,15
ravlt_rb630,RAVLT repetitions (post-learning trials),Memory,words,integer,0,Inf
ravlt_cb631,RAVLT confabulations (post-learning trials),Memory,words,integer,0,Inf
ravlt_false_negatives,RAVLT Delayed Recognition (false negatives),Memory,words,integer,0,15
ravlt_false_positives,RAVLT Delayed Recognition (false positives),Memory,words,integer,0,35
ravlt_fdrec,RAVLT Forced Recog.,Memory,words,integer,0,15
bvmt_1,BVMTR (first trial),Memory,points,integer,0,12
bvmt_2,BVMTR (second trial),Memory,points,integer,0,12
bvmt_3,BVMTR (third trial),Memory,points,integer,0,12
bvmt_30,BVMTR DR,Memory,points,integer,0,12
bvmt_drec,BVMTR Delayed Recognition,Memory,points,integer,0,6
wms_family_ir,FP-IR,Memory,points,integer,0,64
wms_family_30,FP-DR,Memory,points,integer,0,64
jol,JOL,Visuospatial Function,points,integer,0,30
clox_i,CLOX-I,Visuospatial Function,points,integer,0,15
clox_ii,CLOX-II,Visuospatial Function,points,integer,0,15
gp_r,GPT (right hand),Visuospatial Function,seconds,numeric,0,Inf
gp_l,GPT (left hand),Visuospatial Function,seconds,numeric,0,Inf
gds_15,GDS-15,NA,points,integer,0,15
